"ds_entidade";"Classificação Nacional de Atividades Econômicas (CNAE 2.0)";"Ano";"Receita líquida de vendas";"Custo direto de produção - Total";"Salários, retiradas e outras remunerações de pessoal assalariado ligado à produção";"Receita líquida de vendas (em valores de 2019)";"Custo direto de produção - Total (em valores de 2019)";"Salários, retiradas e outras remunerações de pessoal assalariado ligado à produção (em valores de 2019)";"mkp"
"Sub_Setor";"19.3 Fabricação de biocombustíveis";"2007";"14177808";"8351820";"1529927";"27632579";"16277715";"2981831";"1,43474711505972"
"Setor";"20 Fabricação de produtos químicos";"2007";"153389611";"103317425";"4370078";"298956687";"201365887";"8517292";"1,42439565155485"
"Sub_Setor";"20.1 Fabricação de produtos químicos inorgânicos";"2007";"32189430";"21437662";"827567";"62737269";"41782050";"1612930";"1,44572642841446"
"Sub_Setor";"20.2 Fabricação de produtos químicos orgânicos";"2007";"28455255";"21537896";"731757";"55459354";"41977406";"1426196";"1,27775924483421"
"Sub_Setor";"20.3 Fabricação de resinas e elastômeros";"2007";"29995753";"21962118";"665972";"58461788";"42804216";"1297981";"1,32559809511099"
"Sub_Setor";"20.4 Fabricação de fibras artificiais e sintéticas";"2007";"1325943";"905862";"68894";"2584266";"1765527";"134275";"1,36028195774122"
"Sub_Setor";"20.5 Fabricação de defensivos agrícolas e desinfestantes domissanitários";"2007";"18936015";"11723542";"303545";"36906335";"22849209";"591610";"1,57444732876714"
"Sub_Setor";"20.6 Fabricação de sabões, detergentes, produtos de limpeza, cosméticos, produtos de perfumaria e de higiene pessoal";"2007";"21679522";"12866708";"851619";"42253436";"25077242";"1659807";"1,58033279130903"
"Sub_Setor";"20.7 Fabricação de tintas, vernizes, esmaltes, lacas e produtos afins";"2007";"8402245";"5320710";"381665";"16375994";"10370075";"743866";"1,47346412678928"
"Sub_Setor";"20.9 Fabricação de produtos e preparados químicos diversos";"2007";"12405448";"7562926";"539061";"24178245";"14740159";"1050631";"1,53116118305300"
"Setor";"21 Fabricação de produtos farmoquímicos e farmacêuticos";"2007";"27062727";"10308323";"1079384";"52745314";"20090944";"2103722";"2,37648606519293"
"Sub_Setor";"21.1 Fabricação de produtos farmoquímicos";"2007";"276520";"152383";"22158";"538938";"296995";"43186";"1,58426959854705"
"Sub_Setor";"21.2 Fabricação de produtos farmacêuticos";"2007";"26786206";"10155938";"1057226";"52206374";"19793945";"2060536";"2,38881782162465"
"Setor";"22 Fabricação de produtos de borracha e de material plástico";"2007";"52975195";"32871712";"4447039";"103248771";"64067039";"8667289";"1,41953290451762"
"Sub_Setor";"22.1 Fabricação de produtos de borracha";"2007";"16453577";"9520238";"1338693";"32068058";"18554965";"2609116";"1,51521148812899"
"Sub_Setor";"22.2 Fabricação de produtos de material plástico";"2007";"36521618";"23351475";"3108346";"71180713";"45512076";"6058173";"1,38026700936488"
"Setor";"23 Fabricação de produtos de minerais não-metálicos";"2007";"40105188";"20993766";"3474234";"78165099";"40916896";"6771290";"1,63908729769495"
"Sub_Setor";"23.1 Fabricação de vidro e de produtos do vidro";"2007";"6452734";"3190954";"507746";"12576393";"6219176";"989598";"1,74459512801795"
"Sub_Setor";"23.2 Fabricação de cimento";"2007";"8622633";"4199658";"314547";"16805531";"8185143";"613053";"1,91011108268233"
"Sub_Setor";"23.3 Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes";"2007";"7295578";"4439598";"693799";"14219097";"8652786";"1352216";"1,42119886694912"
"Sub_Setor";"23.4 Fabricação de produtos cerâmicos";"2007";"8886492";"4426131";"1177981";"17319792";"8626539";"2295888";"1,58570920781027"
"Sub_Setor";"23.9 Aparelhamento de pedras e fabricação de outros produtos de minerais não-metálicos";"2007";"8847751";"4737426";"780161";"17244286";"9233254";"1520535";"1,60355441608805"
"Setor";"24 Metalurgia";"2007";"121040666";"73551343";"4968791";"235908523";"143351728";"9684185";"1,54152393575895"
"Sub_Setor";"24.1 Produção de ferro-gusa e de ferroligas";"2007";"11428332";"6721100";"386971";"22273844";"13099439";"754207";"1,60779654564508"
"Sub_Setor";"24.2 Siderurgia";"2007";"65857401";"38378400";"2548145";"128356219";"74799586";"4966340";"1,60916102250996"
"Sub_Setor";"24.3 Produção de tubos de aço, exceto tubos sem costura";"2007";"7596808";"5170868";"308132";"14806195";"10078033";"600550";"1,38653184887753"
